year,state_abbr,state,stratification_category,stratification,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,AK,Alaska,Age (years),18 - 24,23.0,19.1,49.3
2017,AK,Alaska,Age (years),25 - 34,31.4,13.4,30.3
2017,AK,Alaska,Age (years),35 - 44,41.5,18.8,38.5
2017,AK,Alaska,Age (years),45 - 54,37.7,21.3,37.9
2017,AK,Alaska,Age (years),55 - 64,36.2,26.1,34.8
2017,AK,Alaska,Age (years),65 or older,34.8,27.5,34.9
2017,AK,Alaska,Education,College graduate,30.7,13.6,26.3
2017,AK,Alaska,Education,High school graduate,30.0,25.4,42.2
2017,AK,Alaska,Education,Less than high school,37.3,28.8,54.0
2017,AK,Alaska,Education,Some college or technical school,38.9,19.8,36.7
2017,AK,Alaska,Income,"$15,000 - $24,999",31.8,22.8,38.4
2017,AK,Alaska,Income,"$25,000 - $34,999",34.5,24.9,32.4
2017,AK,Alaska,Income,"$35,000 - $49,999",41.4,17.2,37.0
2017,AK,Alaska,Income,"$50,000 - $74,999",35.9,19.6,34.0
2017,AK,Alaska,Income,"$75,000 or greater",31.8,16.6,32.4
2017,AK,Alaska,Income,Data not reported,31.6,28.6,45.8
2017,AK,Alaska,Income,"Less than $15,000",37.8,29.1,55.2
2017,AK,Alaska,Race/Ethnicity,Hispanic,32.3,18.0,17.5
2017,AK,Alaska,Race/Ethnicity,NH American Indian/Alaska Native,44.0,28.5,59.5
2017,AK,Alaska,Race/Ethnicity,Non-Hispanic 2 or more races,28.6,10.8,43.4
2017,AK,Alaska,Race/Ethnicity,Non-Hispanic White,32.6,19.6,34.5
2017,AK,Alaska,Sex,Female,36.1,20.2,29.4
2017,AK,Alaska,Sex,Male,32.6,21.1,43.6
2017,AK,Alaska,Total,Total,34.2,20.6,36.9
2017,AL,Alabama,Age (years),18 - 24,20.7,21.5,42.1
2017,AL,Alabama,Age (years),25 - 34,36.3,23.5,45.4
2017,AL,Alabama,Age (years),35 - 44,42.2,28.0,44.1
2017,AL,Alabama,Age (years),45 - 54,47.1,34.1,52.6
2017,AL,Alabama,Age (years),55 - 64,41.2,39.0,47.7
2017,AL,Alabama,Age (years),65 or older,29.0,40.0,38.1
2017,AL,Alabama,Education,College graduate,31.7,21.1,34.8
2017,AL,Alabama,Education,High school graduate,37.1,36.9,46.9
2017,AL,Alabama,Education,Less than high school,41.2,45.1,56.1
2017,AL,Alabama,Education,Some college or technical school,36.3,28.7,44.7
2017,AL,Alabama,Income,"$15,000 - $24,999",40.4,42.4,46.4
2017,AL,Alabama,Income,"$25,000 - $34,999",37.0,37.2,46.2
2017,AL,Alabama,Income,"$35,000 - $49,999",38.3,29.5,45.5
2017,AL,Alabama,Income,"$50,000 - $74,999",38.8,28.1,42.7
2017,AL,Alabama,Income,"$75,000 or greater",31.9,17.8,39.5
2017,AL,Alabama,Income,Data not reported,31.6,35.0,47.4
2017,AL,Alabama,Income,"Less than $15,000",42.2,42.0,49.2
2017,AL,Alabama,Race/Ethnicity,Hispanic,34.4,24.9,26.9
2017,AL,Alabama,Race/Ethnicity,NH American Indian/Alaska Native,46.6,35.4,56.4
2017,AL,Alabama,Race/Ethnicity,Non-Hispanic 2 or more races,38.6,38.7,36.6
2017,AL,Alabama,Race/Ethnicity,Non-Hispanic Black,44.4,34.4,44.1
2017,AL,Alabama,Race/Ethnicity,Non-Hispanic White,33.6,31.4,46.3
2017,AL,Alabama,Sex,Female,37.4,35.8,42.2
2017,AL,Alabama,Sex,Male,35.1,27.8,47.9
2017,AL,Alabama,Total,Total,36.3,32.0,44.9
2017,AR,Arkansas,Age (years),18 - 24,13.3,20.8,49.8
2017,AR,Arkansas,Age (years),25 - 34,38.8,29.6,43.9
2017,AR,Arkansas,Age (years),35 - 44,41.8,29.8,42.7
2017,AR,Arkansas,Age (years),45 - 54,42.6,34.6,49.9
2017,AR,Arkansas,Age (years),55 - 64,40.2,35.1,45.2
2017,AR,Arkansas,Age (years),65 or older,30.6,40.4,39.5
2017,AR,Arkansas,Education,College graduate,27.9,18.6,41.8
2017,AR,Arkansas,Education,High school graduate,34.6,37.7,48.6
2017,AR,Arkansas,Education,Less than high school,38.7,48.9,46.1
2017,AR,Arkansas,Education,Some college or technical school,38.5,27.9,41.5
2017,AR,Arkansas,Income,"$15,000 - $24,999",40.0,36.4,43.0
2017,AR,Arkansas,Income,"$25,000 - $34,999",36.8,33.4,43.2
2017,AR,Arkansas,Income,"$35,000 - $49,999",36.3,28.6,50.5
2017,AR,Arkansas,Income,"$50,000 - $74,999",35.1,31.2,43.4
2017,AR,Arkansas,Income,"$75,000 or greater",32.2,19.3,39.6
2017,AR,Arkansas,Income,Data not reported,26.4,37.7,42.6
