year,state_abbr,state,obesity_pct,no_leisure_activity_pct,low_fruit_consumption_pct
2017,AK,Alaska,34.2,20.6,36.9
2017,AL,Alabama,36.3,32.0,44.9
2017,AR,Arkansas,35.0,32.5,44.7
2017,AZ,Arizona,29.5,25.1,37.2
2017,CA,California,25.1,20.0,32.5
2017,CO,Colorado,22.6,19.5,33.0
2017,CT,Connecticut,26.9,24.0,31.5
2017,DC,District of Columbia,23.0,23.0,30.6
2017,DE,Delaware,31.8,31.0,35.4
2017,FL,Florida,28.4,29.2,34.4
2017,GA,Georgia,31.6,31.0,38.6
2017,HI,Hawaii,23.8,23.5,37.0
2017,IA,Iowa,36.4,25.0,35.6
2017,ID,Idaho,29.3,24.2,35.4
2017,IL,Illinois,31.1,24.0,33.3
2017,IN,Indiana,33.6,29.8,40.7
2017,KS,Kansas,32.4,27.9,37.6
2017,KY,Kentucky,34.3,34.4,42.7
2017,LA,Louisiana,36.2,31.8,45.0
2017,MA,Massachusetts,25.9,24.8,31.2
2017,MD,Maryland,31.3,25.6,34.3
2017,ME,Maine,29.1,25.2,31.4
2017,MI,Michigan,32.3,27.2,36.4
2017,MN,Minnesota,28.4,24.6,32.3
2017,MO,Missouri,32.5,29.2,39.9
2017,MS,Mississippi,37.3,33.2,46.3
2017,MT,Montana,25.3,25.0,36.4
2017,NC,North Carolina,32.1,25.6,37.4
2017,ND,North Dakota,33.2,27.6,36.8
2017,NE,Nebraska,32.8,25.4,36.9
2017,NH,New Hampshire,28.1,23.9,30.3
2017,NJ,New Jersey,27.3,29.0,33.7
2017,NM,New Mexico,28.4,24.5,37.4
2017,NV,Nevada,26.7,28.0,37.6
2017,NY,New York,25.7,27.2,33.5
2017,OH,Ohio,33.8,29.6,37.7
2017,OK,Oklahoma,36.5,32.4,45.8
2017,OR,Oregon,29.4,21.4,33.0
2017,PA,Pennsylvania,31.6,24.9,34.1
2017,RI,Rhode Island,30.0,26.3,33.7
2017,SC,South Carolina,34.1,28.4,40.6
2017,SD,South Dakota,31.9,24.9,36.9
2017,TN,Tennessee,32.8,30.6,38.9
2017,TX,Texas,33.0,32.1,39.4
2017,UT,Utah,25.3,21.1,32.1
2017,VA,Virginia,30.1,25.9,36.6
2017,VT,Vermont,27.6,21.6,29.7
2017,WA,Washington,27.7,19.2,32.1
2017,WI,Wisconsin,32.0,22.4,32.4
2017,WV,West Virginia,38.1,31.6,44.9
2017,WY,Wyoming,28.8,25.7,37.7
2019,AK,Alaska,30.5,21.7,42.8
2019,AL,Alabama,36.1,31.5,46.1
2019,AR,Arkansas,37.4,31.2,46.5
2019,AZ,Arizona,31.4,24.1,38.5
2019,CA,California,26.2,22.4,36.2
2019,CO,Colorado,23.8,18.7,37.0
2019,CT,Connecticut,29.1,23.5,34.1
2019,DC,District of Columbia,23.8,19.0,35.6
2019,DE,Delaware,34.4,26.6,37.0
2019,FL,Florida,27.0,26.5,38.3
2019,GA,Georgia,33.1,27.9,43.1
2019,HI,Hawaii,25.0,24.4,40.3
2019,IA,Iowa,33.9,26.5,40.5
2019,ID,Idaho,29.5,23.8,36.8
2019,IL,Illinois,31.6,25.6,38.3
2019,IN,Indiana,35.3,30.9,41.6
2019,KS,Kansas,35.2,27.1,41.4
2019,KY,Kentucky,36.5,32.8,45.8
2019,LA,Louisiana,35.9,31.9,47.2
2019,MA,Massachusetts,25.2,26.4,32.7
2019,MD,Maryland,32.3,23.4,37.3
2019,ME,Maine,31.7,30.1,35.2
2019,MI,Michigan,36.0,25.4,40.1
2019,MN,Minnesota,30.1,19.9,35.2
2019,MO,Missouri,34.8,30.6,42.2
2019,MS,Mississippi,40.8,37.7,47.5
2019,MT,Montana,28.3,19.7,40.9
2019,NC,North Carolina,34.0,26.3,38.1
2019,ND,North Dakota,34.8,28.0,40.6
2019,NE,Nebraska,34.1,26.9,39.5
2019,NH,New Hampshire,31.8,21.7,35.7
2019,NM,New Mexico,31.7,25.4,43.1
2019,NV,Nevada,30.6,25.8,43.4
2019,NY,New York,27.1,27.2,34.7
2019,OH,Ohio,34.8,28.3,42.7
2019,OK,Oklahoma,36.8,34.0,48.4
2019,OR,Oregon,29.0,23.9,35.8
2019,PA,Pennsylvania,33.2,25.6,38.0
2019,RI,Rhode Island,30.0,26.5,36.1
2019,SC,South Carolina,35.4,28.8,43.2
2019,SD,South Dakota,33.0,30.0,39.2
2019,TN,Tennessee,36.5,30.1,43.0
2019,TX,Texas,34.0,27.2,41.3
2019,UT,Utah,29.2,18.5,36.6
2019,VA,Virginia,31.9,25.3,38.3
2019,VT,Vermont,26.6,20.0,32.0
2019,WA,Washington,28.3,19.2,36.2
2019,WI,Wisconsin,34.2,23.2,38.9
2019,WV,West Virginia,39.7,31.2,46.3
2019,WY,Wyoming,29.7,24.6,42.2
2021,AK,Alaska,33.5,20.3,42.4
2021,AL,Alabama,39.9,31.5,45.9
2021,AR,Arkansas,38.7,30.6,46.4
2021,AZ,Arizona,31.3,22.7,41.6
2021,CA,California,27.6,20.1,36.2
2021,CO,Colorado,25.1,16.7,38.3
2021,CT,Connecticut,30.4,22.9,36.0
2021,DC,District of Columbia,24.7,15.8,33.2
2021,DE,Delaware,33.9,27.2,39.7
2021,GA,Georgia,33.9,23.7,41.5
2021,HI,Hawaii,25.0,20.0,42.6
2021,IA,Iowa,36.4,24.7,41.5
2021,ID,Idaho,31.6,20.5,41.8
2021,IL,Illinois,34.2,27.2,39.2
2021,IN,Indiana,36.3,25.9,43.4
2021,KS,Kansas,36.0,23.6,43.7
2021,KY,Kentucky,40.3,30.5,45.0
2021,LA,Louisiana,38.6,29.4,48.6
2021,MA,Massachusetts,27.4,21.1,36.7
2021,MD,Maryland,34.3,21.7,37.1
2021,ME,Maine,31.9,26.5,35.0
2021,MI,Michigan,34.4,23.1,39.9
2021,MN,Minnesota,32.4,20.2,36.4
2021,MO,Missouri,37.3,25.3,43.4
2021,MS,Mississippi,39.1,30.9,46.9
2021,MT,Montana,31.8,21.2,40.0
2021,NC,North Carolina,36.0,22.3,40.4
2021,ND,North Dakota,35.2,25.5,44.0
2021,NE,Nebraska,35.9,24.2,42.7
2021,NH,New Hampshire,30.6,20.0,36.1
2021,NJ,New Jersey,28.2,24.1,35.7
2021,NM,New Mexico,34.6,23.0,41.2
2021,NV,Nevada,31.3,24.2,42.1
2021,NY,New York,29.1,25.8,36.5
